repo,pr_id,title,date_created,url,author,ci_status,draft_status
insights-results-smart-proxy,1640,Bump github.com/openshift-online/ocm-sdk-go from 0.1.484 to 0.1.486,2025-12-10T17:02:49Z,https://github.com/RedHatInsights/insights-results-smart-proxy/pull/1640,app/dependabot,failed,ready
insights-operator-gathering-conditions-service,547,fix(deps): update module golang.org/x/sync to v0.19.0,2025-12-08T20:47:06Z,https://github.com/RedHatInsights/insights-operator-gathering-conditions-service/pull/547,app/red-hat-konflux,failed,ready
insights-operator-gathering-conditions-service,546,Bump golang.org/x/sync from 0.18.0 to 0.19.0,2025-12-08T18:03:51Z,https://github.com/RedHatInsights/insights-operator-gathering-conditions-service/pull/546,app/dependabot,failed,ready
insights-operator-gathering-conditions-service,545,chore(deps): update all dependencies,2025-12-08T16:47:19Z,https://github.com/RedHatInsights/insights-operator-gathering-conditions-service/pull/545,app/red-hat-konflux,failed,ready
insights-results-smart-proxy,1638,Update module github.com/redis/go-redis/v9 to v9.17.2,2025-12-01T20:50:03Z,https://github.com/RedHatInsights/insights-results-smart-proxy/pull/1638,app/red-hat-konflux,failed,ready
insights-results-smart-proxy,1637,Bump github.com/redis/go-redis/v9 from 9.17.1 to 9.17.2,2025-12-01T18:26:07Z,https://github.com/RedHatInsights/insights-results-smart-proxy/pull/1637,app/dependabot,failed,ready
insights-results-aggregator,2260,fix: don't add empty rule IDs,2025-09-05T08:18:51Z,https://github.com/RedHatInsights/insights-results-aggregator/pull/2260,juandspy,ok,draft
insights-operator-gathering-conditions-service,371,Drop legacy building,2025-03-28T12:35:04Z,https://github.com/RedHatInsights/insights-operator-gathering-conditions-service/pull/371,ikerreyes,failed,draft
